entity_id,state,last_changed
sensor.shellypro3em_9454c5b9b340_total_active_power,9.353,2026-04-28T11:45:03.099Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.765,2026-04-28T11:45:17.103Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.279,2026-04-28T11:45:31.147Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.942,2026-04-28T11:45:45.111Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.305,2026-04-28T11:45:59.116Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-57.853,2026-04-28T11:46:00.419Z
sensor.shellypro3em_9454c5b9b340_total_active_power,-61.032,2026-04-28T11:46:01.116Z
sensor.shellypro3em_9454c5b9b340_total_active_power,3.179,2026-04-28T11:46:02.190Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.71,2026-04-28T11:46:04.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,16.907,2026-04-28T11:46:14.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.038,2026-04-28T11:46:17.122Z
sensor.shellypro3em_9454c5b9b340_total_active_power,16.856,2026-04-28T11:46:28.189Z
